N_sigma,mass,beta,mmd_mean,mmd_std,mmd_run1,mmd_run2,mmd_run3,mmd_run4,mmd_run5,mmd_run6,mmd_run7,mmd_run8,mmd_run9,mmd_run10
8.0,0.09,4.996,0.0001970645782421343,0.00017289842398895416,0.00016965300892479718,0.0001464347296860069,0.00031692846096120775,0.0001767967623891309,0.00013842742191627622,0.00019333904492668808,0.00010476633906364441,0.000338059791829437,0.00021398396347649395,0.00017225625924766064
8.0,0.09,5.0,0.0003286095889052376,0.0002178040835133288,0.00043779012048617005,0.000380964542273432,0.0003196224570274353,0.0002865049464162439,0.0003279225784353912,0.0002791488659568131,0.0002925118897110224,0.0003406980831641704,0.0002901067491620779,0.0003308256564196199
8.0,0.09,5.002,0.00022120734356576577,0.00016010710860427934,0.00014361590729095042,0.0001735447731334716,0.00021566501527559012,0.0002743492368608713,0.0003571214620023966,0.0001294428075198084,0.00017599512648303062,0.0003906952333636582,0.0001232921495102346,0.00022835172421764582
8.0,0.09,4.998,0.0002085263309709262,0.00018988433657796122,0.00015311434981413186,0.00023891287855803967,0.0001466366957174614,0.0003189149429090321,0.00010814725101226941,0.0001309502695221454,9.203770605381578e-05,0.0005214427364990115,0.00020768260583281517,0.0001674238737905398
12.0,0.09,4.998,0.0002279313077451661,0.00015348970773629845,0.0003946172073483467,0.0001340198068646714,0.0004028714611195028,0.00015126308426260948,0.00030197956948541105,0.00014738285972271115,0.0002007696748478338,0.00020302091434132308,0.00018409627955406904,0.00015929221990518272
12.0,0.09,4.996,0.00017030002709361725,8.150388384819962e-05,0.00017319482867605984,0.00016407054499723017,0.00017986749298870564,0.00018119587912224233,0.00012030056677758694,0.00016575216432102025,0.000158715556608513,0.0002880093816202134,7.278155680978671e-05,0.0001991122990148142
12.0,0.09,5.0,0.0001091773621737957,8.611088123871014e-05,9.679219510871917e-05,8.678323501953855e-05,7.055162859614938e-05,0.00015367154264822602,7.615684444317594e-05,7.498137711081654e-05,6.160455814097077e-05,0.00018955999985337257,0.00013721569848712534,0.00014445654232986271
16.0,0.085,4.988,0.0011893451097421347,0.00036192031257087365,0.0011751876445487142,0.0015211236895993352,0.0019700927659869194,0.0012877897825092077,0.0011371157597750425,0.0006651089643128216,0.0015426878817379475,0.0006097629084251821,0.0014466296415776014,0.0005379520589485765
16.0,0.085,4.99,0.0006142952479422092,0.00013451209961203858,0.0005073006032034755,0.0005032461485825479,0.0006430437788367271,0.0005417867214418948,0.0005704141804017127,0.0006493797991424799,0.0007033755537122488,0.0007109477883204818,0.0006718442891724408,0.0006416136166080832
16.0,0.085,4.989,0.0006522895506350324,0.00031862817413639275,0.0005571848014369607,0.0002143904275726527,0.0005779495695605874,0.00037276436341926455,0.0007821329636499286,0.0013089505955576897,0.0006908258656039834,0.0011429758742451668,0.000571098062209785,0.0003046229830943048
8.0,0.085,4.992,0.00016106653965834993,0.00015838531217013952,0.0001759969600243494,0.00010102315718540922,0.00016406012582592666,0.0001679147535469383,0.0002607404603622854,7.091084989951923e-05,9.636399772716686e-05,0.00030983364558778703,0.00020712897821795195,5.669246820616536e-05
8.0,0.085,4.988,0.00017912592084030622,0.00015831812052056194,0.00011183861352037638,0.00021822373673785478,0.000211152684642002,0.00014389786520041525,0.00022591053857468069,0.000251432356890291,0.00020814167510252446,8.496449299855158e-05,0.00017569714691489935,0.00016000009782146662
8.0,0.085,4.99,0.00023306670918827878,0.00017117039460572413,0.00018790856120176613,0.0004046726389788091,0.00029345654183998704,0.00020176293037366122,0.0002114668022841215,0.0002946561435237527,0.00017794739687815309,0.00014742517669219524,0.00019870695541612804,0.00021266394469421357
12.0,0.085,4.988,0.00019238187378505244,0.00014972687131376006,0.00011654307309072465,0.00013904627121519297,0.0002710379776544869,0.00010900775669142604,0.00019038523896597326,0.0001905103854369372,0.00022693953360430896,0.00047015113523229957,9.014028182718903e-05,0.0001200570841319859
12.0,0.085,4.99,0.0001961211659363471,0.0001442117452825187,0.0003821808786597103,0.00018113396072294563,0.0002566892362665385,9.748323645908386e-05,0.00012421561405062675,0.00012901605805382133,7.80616101110354e-05,0.00023816083557903767,0.0001239367702510208,0.00035033345920965075
12.0,0.085,4.989,0.00021530467420234346,0.00015561913351120894,0.00021419271070044488,0.0002475572400726378,0.00014354080485645682,0.00028924044454470277,0.00010816246503964067,0.00025927042588591576,0.0002314008743269369,0.00023106051958166063,8.243579213740304e-05,0.00034618546487763524
