N_sigma,mass,beta,mmd_mean,mmd_std,mmd_run1,mmd_run2,mmd_run3,mmd_run4,mmd_run5,mmd_run6,mmd_run7,mmd_run8,mmd_run9,mmd_run10,mmd_run11,mmd_run12,mmd_run13,mmd_run14,mmd_run15,mmd_run16,mmd_run17,mmd_run18,mmd_run19,mmd_run20
8.0,0.09,4.996,0.00013608095796371344,4.7843349478658004e-05,0.000105166262073908,0.0002115933457389474,9.821593994274735e-05,0.00019275200611446053,0.00012880872236564755,7.2281647589989e-05,9.750500612426549e-05,0.00020796510216314346,0.00010880492482101545,0.000198195077246055,6.47660854156129e-05,0.00014516044757328928,8.189135405700654e-05,0.00015035826072562486,0.00017892086179926991,9.120767936110497e-05,0.00013498679618351161,0.00018572507542558014,8.64304747665301e-05,0.00018088408978655934
8.0,0.09,5.0,0.0002910014409280848,7.018334968722597e-05,0.00025171294691972435,0.00022618685034103692,0.0002586403861641884,0.00023098496603779495,0.000338663172442466,0.0002765335375443101,0.00024691721773706377,0.00018115362036041915,0.000361793878255412,0.0003256453783251345,0.0003745166177395731,0.00020211515948176384,0.0003615482128225267,0.0002469213795848191,0.0002721895871218294,0.0003166946698911488,0.00046938640298321843,0.000377152202418074,0.00024334566842298955,0.00025792696396820247
8.0,0.09,5.002,0.00018205786982434803,4.954458147211788e-05,0.00021289134747348726,0.00021230510901659727,0.00015939238073769957,0.0002108433545799926,0.00017915187345352024,0.00030421483097597957,0.00016261533892247826,0.00011400895891711116,0.0001113079342758283,0.00013125254190526903,0.00023964815773069859,0.00017233399557881057,0.00018306696438230574,9.462445450481027e-05,0.00021021421707700938,0.00015776275540702045,0.00020647243945859373,0.00024395908985752612,0.00014441212988458574,0.00019067952234763652
8.0,0.09,4.998,0.00014406361042347272,5.491846466088283e-05,0.0001797815493773669,0.00019793500541709363,8.65495385369286e-05,0.00010744146129582077,0.00014782711514271796,0.00032028640271164477,0.0001236793032148853,0.00010493545414647087,0.00011697362788254395,0.00018830763292498887,0.0001442053180653602,0.00018261783407069743,6.266705167945474e-05,0.00011479588283691555,9.870505891740322e-05,0.00015474729298148304,8.570492354920134e-05,0.000176011526491493,0.00015455829270649701,0.00013354193652048707
12.0,0.09,4.998,0.00018342998591833748,7.208560252030055e-05,0.00042048306204378605,0.00024012518406379968,0.00016866820806171745,0.00019499874906614423,0.00015627744141966105,8.872777107171714e-05,0.00011957708920817822,0.0001893221342470497,0.0001296616392210126,0.00015201864880509675,0.00017213002138305455,0.00019207180594094098,0.00020058495283592492,0.00021091203961987048,0.00017894202028401196,0.00011935360817005858,0.00012435272219590843,0.000112773290311452,0.00029387458926066756,0.00020374474115669727
12.0,0.09,4.996,0.00021589535535895265,7.526823340230493e-05,0.00027569232042878866,0.00020778304315172136,0.00013859679165761918,0.00026249676011502743,0.0002586185873951763,0.00021381257101893425,0.00024791990290395916,0.0002585110778454691,0.00012628322292584926,0.00014867847494315356,0.00014732059207744896,0.00013069887063466012,0.0001647722820052877,0.00035017021582461894,0.00014725593791808933,0.00041378248715773225,0.00017947735614143312,0.00025338574778288603,0.00014982021821197122,0.0002428306470392272
12.0,0.09,5.0,0.00010776084018289111,3.553867994724929e-05,0.00013315846445038915,0.0001587269944138825,0.0001244320737896487,0.00014149151684250683,0.00012782290286850184,0.00014559217379428446,8.833053288981318e-05,9.20933234738186e-05,8.192932000383735e-05,6.700180529151112e-05,0.00011207569332327694,9.341050463262945e-05,8.122118742903695e-05,4.897335384157486e-05,0.0001089197103283368,7.403180643450469e-05,4.8190213419729844e-05,0.0001876851310953498,0.00011490719771245494,0.0001252228976227343
16.0,0.085,4.988,0.006483228504657745,0.002185736757630179,0.002642236417159438,0.004431764595210552,0.005794399417936802,0.007446148432791233,0.00782658439129591,0.005421563982963562,0.010952981188893318,0.008182142861187458,0.0018477204721421003,0.0070603592321276665,0.006079848390072584,0.006660973187536001,0.005396305117756128,0.010821904987096786,0.008315921761095524,0.006321909837424755,0.007151042576879263,0.006062106695026159,0.006594992242753506,0.00465366430580616
16.0,0.085,4.99,0.0021313491393812,0.0009356488450562626,0.005605123937129974,0.0024726255796849728,0.0019386878702789545,0.0016636193031445146,0.001282396144233644,0.0020285367500036955,0.0017664004117250443,0.0017738987226039171,0.0025211800821125507,0.0016918967012315989,0.0013502378715202212,0.001766688423231244,0.0015169552061706781,0.0016198974335566163,0.0014447302091866732,0.0023757019080221653,0.002241303212940693,0.001786612207069993,0.0023726264480501413,0.0034078643657267094
16.0,0.085,4.989,0.0013377112918533385,0.0011638350318671853,0.004483227618038654,0.00281772599555552,0.0007625713478773832,0.0008032193291001022,0.0006011107470840216,0.0015600790502503514,0.0004551199672278017,0.0005122636212036014,0.004111922811716795,0.0005672697443515062,0.0003484681074041873,0.0009761649998836219,0.0010806613136082888,0.00018007183098234236,0.0010713026858866215,0.0016173471231013536,0.001273134257644415,0.0004534496401902288,0.001032309141010046,0.0020468065049499273
8.0,0.085,4.992,0.0014112684555584564,0.0011344807504466308,0.0008456482319161296,0.00027073596720583737,0.002419427502900362,0.000783607829362154,0.0009021198493428528,0.0013785574119538069,0.0009324299171566963,0.00013297470286488533,0.002823406830430031,0.0004569680313579738,0.0024174265563488007,0.0011257148580625653,0.001911956467665732,0.004838332533836365,0.0005411220481619239,0.0002694551076274365,0.00164204987231642,0.0003752696211449802,0.0025853686966001987,0.0015727970749139786
8.0,0.085,4.988,0.0019970974812167698,0.0019639714475199054,0.0017782312352210283,0.006785458419471979,0.0009035800467245281,0.0006076273857615888,0.0020611758809536695,0.0075043863616883755,0.000709396437741816,0.00027021768619306386,0.00021409709006547928,0.001051862956956029,0.003066167002543807,0.0007625421858392656,0.0016686143353581429,0.0038903995882719755,0.0009319319506175816,0.0014582171570509672,0.00260195997543633,0.0007696354296058416,0.0023873455356806517,0.0005191029631532729
8.0,0.085,4.99,0.002134623810707126,0.0017352083426731496,0.0008426446584053338,0.0023934475611895323,0.0016434590797871351,0.0008548720506951213,0.0008258316665887833,0.006399556063115597,0.0015575187280774117,0.00042158752330578864,0.0009007711196318269,0.0005933053325861692,0.0059556192718446255,0.0021067392081022263,0.0017852488672360778,0.002515191910788417,0.0022377334535121918,0.0006154155707918108,0.0017887918511405587,0.0056000989861786366,0.001952379010617733,0.0017022643005475402
12.0,0.085,4.988,0.0059618012513965365,0.0034699412808158582,0.003289193380624056,0.0037837326526641846,0.0020154074300080538,0.014686232432723045,0.005467156879603863,0.008914520032703876,0.007571330759674311,0.0076407878659665585,0.0021326695568859577,0.003097688080742955,0.012940009124577045,0.007051953114569187,0.004116747062653303,0.009764714166522026,0.0028407496865838766,0.004855469800531864,0.006391396280378103,0.006618138402700424,0.004344885237514973,0.001713243080303073
12.0,0.085,4.99,0.008088004973251373,0.0046325484088187915,0.008008669130504131,0.01368960551917553,0.004908041562885046,0.005462045781314373,0.006830084137618542,0.020632009953260422,0.003750982228666544,0.006987873464822769,0.0032842163927853107,0.005955420900136232,0.014920595102012157,0.006195407826453447,0.007578309625387192,0.0151786208152771,0.002269440097734332,0.0020104306749999523,0.009225770831108093,0.008269610814750195,0.009084165096282959,0.007518799509853125
12.0,0.085,4.989,0.009132156253326685,0.004222161451935109,0.00831497274339199,0.007424017880111933,0.008654801174998283,0.014083610847592354,0.009395608678460121,0.015505209565162659,0.005470949225127697,0.0069936783984303474,0.0032003603409975767,0.010018495842814445,0.01838277466595173,0.007354763336479664,0.005412905476987362,0.01328800618648529,0.0033835233189165592,0.00399810541421175,0.010884074494242668,0.015887383371591568,0.0078573077917099,0.007132576312869787
